x,f_50,f_40,f_30,f_20,f_10,f_5,f_2
0,0,0,0,0,0,0,0
0.05,2.00E-07,-0.00197337,-0.00495785,-0.0098605,-0.019652,-0.0294456,-0.0393792
0.1,4.00E-07,-0.00394074,-0.00988788,-0.0196522,-0.0392198,-0.0586638,-0.0784268
0.15,6.01E-07,-0.00590211,-0.0147902,-0.0293857,-0.0585983,-0.0874238,-0.116893
0.2,8.03E-07,-0.00785748,-0.0196645,-0.039082,-0.0776703,-0.115499,-0.154594
0.25,1.01E-06,-0.00980688,-0.0245204,-0.0487409,-0.0963946,-0.142773,-0.191399
0.3,1.21E-06,-0.0117503,-0.0293581,-0.0582728,-0.114627,-0.169165,-0.226887
0.35,1.41E-06,-0.0136878,-0.0341777,-0.0676724,-0.132342,-0.194586,-0.2608
0.4,1.62E-06,-0.0156193,-0.0389792,-0.076938,-0.149511,-0.2188,-0.292872
0.45,1.83E-06,-0.0175448,-0.0437625,-0.0860683,-0.166108,-0.241721,-0.322951
0.5,2.03E-06,-0.0194645,-0.0485278,-0.0950452,-0.182106,-0.263189,-0.351167
0.55,2.24E-06,-0.0213782,-0.0532357,-0.103817,-0.197449,-0.283042,-0.377173
0.6,2.45E-06,-0.023286,-0.0578808,-0.112382,-0.212104,-0.301814,-0.400976
0.65,2.66E-06,-0.0251879,-0.062463,-0.120736,-0.226047,-0.319528,-0.42286
0.7,2.87E-06,-0.0270839,-0.0669824,-0.128878,-0.239243,-0.336071,-0.442535
0.75,3.08E-06,-0.028974,-0.0714392,-0.136804,-0.25166,-0.351328,-0.460618
0.8,3.29E-06,-0.0308582,-0.0758334,-0.144513,-0.263269,-0.365417,-0.476824
0.85,3.50E-06,-0.0327366,-0.0801651,-0.152003,-0.274051,-0.378241,-0.491063
0.9,3.72E-06,-0.0346091,-0.0844346,-0.159273,-0.283991,-0.389718,-0.504018
0.95,3.93E-06,-0.0364758,-0.0886418,-0.166321,-0.293375,-0.400194,-0.515752
1,4.15E-06,-0.0383366,-0.0927871,-0.173147,-0.302337,-0.409817,-0.526216
