x,k=0,x,k=0.0667,x,k=0.1333,x,k=0.2,x,k=0.2667,x,k=0.3333
x,E1,x,E1,x,E1,x,E1,x,E1,x,E1
0,0,0,0,0,0,0,0,0,0,0,0
0.0025,4.8932,0.0025,3.13644,0.005,58.4716,0.005,1.59869,0.00999999,0.852057,0.00999999,0.00703931
0.005,9.84714,0.00621706,7.88412,0.014,10.2194,0.00988364,3.23268,0.0193465,1.77419,0.023,0.0257331
0.012,24.0452,0.0141907,18.4057,0.0218073,16.4928,0.0187906,6.40085,0.0318238,3.20437,0.0384,0.0774844
0.0226,46.4809,0.0255697,34.2394,0.033053,25.9539,0.0309161,11.1146,0.0468056,5.23959,0.05572,0.197403
0.03608,76.692,0.0396729,55.2405,0.0470496,38.6764,0.0456166,17.4713,0.063791,7.9937,0.074576,0.432879
0.051864,114.554,0.0559554,81.4558,0.063247,54.7589,0.0623769,25.6136,0.0823793,11.589,0.0946608,0.840974
0.0694912,160.165,0.0739813,113.051,0.0812048,74.3683,0.0807852,35.7078,0.10225,16.1514,0.115729,1.48563
0.0885929,213.773,0.0934021,150.272,0.100571,97.7121,0.100512,47.9314,0.123147,21.8074,0.137583,2.43517
0.108874,275.745,0.113939,193.42,0.121064,125.025,0.121293,62.4674,0.144864,28.6826,0.160066,3.76029
0.130099,346.545,0.135368,242.843,0.142458,156.559,0.142918,79.5011,0.167238,36.901,0.183053,5.53264
0.15208,426.726,0.157512,298.933,0.164574,192.587,0.165218,99.2203,0.190137,46.5853,0.206442,7.82386
0.174664,516.929,0.180226,362.124,0.187266,233.395,0.188058,121.815,0.213456,57.8568,0.230154,10.705
0.197731,617.891,0.203398,432.898,0.21042,279.293,0.21133,147.48,0.237111,70.8366,0.254123,14.2463
0.221185,730.445,0.226936,511.787,0.233944,330.608,0.234948,176.415,0.261035,85.646,0.278298,18.5172
0.244948,855.54,0.250766,599.38,0.257762,387.696,0.258842,208.827,0.285175,102.408,0.302639,23.5862
0.268958,994.244,0.27483,696.33,0.281817,450.941,0.282957,244.935,0.309486,121.246,0.327111,29.5214
0.293167,1147.76,0.299081,803.364,0.306061,520.76,0.307249,284.966,0.333936,142.289,0.351689,36.3903
0.317533,1317.46,0.323482,921.287,0.330456,597.609,0.331683,329.164,0.358495,165.668,0.376351,44.2607
0.342027,1504.86,0.348002,1051,0.354972,681.985,0.35623,377.788,0.383143,191.52,0.401081,53.2003
0.366619,1711.66,0.372619,1193.49,0.379585,774.433,0.380868,431.114,0.407861,219.987,0.425865,63.2776
0.391293,1939.83,0.397312,1349.88,0.404275,875.551,0.405578,489.44,0.432635,251.217,0.450692,74.5617
0.416032,2191.54,0.422067,1521.39,0.429027,985.998,0.430346,553.087,0.457455,285.369,0.475553,87.123
0.440823,2469.21,0.446871,1709.41,0.453829,1106.5,0.45516,622.4,0.48231,322.606,0.5,100.774
0.465656,2775.59,0.471714,1915.46,0.47867,1237.84,0.480012,697.755,0.5,351.053,,
0.490522,3113.73,0.496588,2141.24,0.5,1359.78,0.5,762.946,,,,
0.5,3251.55,0.5,2173.83,,,,,,,,
