x-pos,y-stress,x-stress
4.61426,213.576,-18.1169
4.61545,218.679,-18.4455
4.64161,204.552,-17.3143
4.64366,209.157,-17.5181
4.68278,183.989,-15.3546
4.68595,187.295,-15.3642
4.74483,158.379,-12.6901
4.74935,160.016,-12.6025
4.83861,128.544,-9.39522
4.84443,128.628,-9.27749
4.98078,99.6387,-5.97132
4.98715,98.7003,-5.8655
5.12474,78.8055,-3.28285
5.13006,77.4121,-3.20817
5.22167,67.1511,-1.65961
5.22549,65.6081,-1.61195
5.2867,60.9165,-0.758497
5.28917,59.3604,-0.721742
5.33025,57.2095,-0.249254
5.33166,55.7586,-0.190502
5.35937,55.776,-0.0699919
5.36,54.4098,0.0116032
