time,indenter_z,final_z,init_z
0,0,0,0
0.100000001,-0.001577177,-0.00158113,-0.00223442
0.600000024,-0.004001543,-0.00401153,-0.00568133
3,-0.008963342,-0.00898563,-0.0127717
6.92000008,-0.013896435,-0.013931,-0.019812
12.0559998,-0.018583391,-0.0186299,-0.0264722
18.1648006,-0.023021042,-0.0230789,-0.0327409
25.0518398,-0.027231123,-0.0272999,-0.0386567
32.5614738,-0.031236425,-0.0313158,-0.0442756
40.5691757,-0.035057336,-0.035147,-0.0496633
48.9753418,-0.03871166,-0.0388112,-0.054889
57.7002754,-0.042214941,-0.0423241,-0.0600181
66.6802216,-0.045580842,-0.0457,-0.0651082
75.8641739,-0.048822153,-0.0489503,-0.0702062
85.2113419,-0.051948797,-0.0520855,-0.0753488
94.6890717,-0.05497022,-0.0551154,-0.0805637
104.271255,-0.057895087,-0.0580486,-0.0858717
113.937004,-0.06073115,-0.0608927,-0.091288
123.669601,-0.063485362,-0.0636549,-0.0968248
133.455688,-0.066163965,-0.0663412,-0.102492
143.284546,-0.068772584,-0.0689574,-0.108297
153.147644,-0.071316294,-0.0715086,-0.114249
163.038116,-0.073799677,-0.0739993,-0.120354
172.950485,-0.076226868,-0.0764336,-0.126623
182.880386,-0.078601621,-0.0788154,-0.133062
192.82431,-0.08092735,-0.0811481,-0.139681
200,-0.082588203,-0.0828139,-0.144569
211.964111,-0.063073337,-0.0632314,-0.126423
225.5354,-0.054735016,-0.0548699,-0.121166
240.392426,-0.049377501,-0.0494971,-0.118997
256.278046,-0.045396067,-0.0455045,-0.118082
272.986542,-0.042254958,-0.0423547,-0.117705
290.353363,-0.039689645,-0.0397822,-0.117555
308.246796,-0.037546568,-0.0376331,-0.117496
326.561554,-0.035727982,-0.035809,-0.117473
345.213348,-0.034167718,-0.0342438,-0.117465
364.134796,-0.032818813,-0.0328902,-0.117462
383.271942,-0.031646553,-0.0317135,-0.117461
400,-0.030745797,-0.030809,-0.11746
435.447784,-0.029242868,-0.0292986,-0.11746
483.806,-0.027739782,-0.0277864,-0.11746
542.492554,-0.026467772,-0.0265049,-0.11746
609.441833,-0.025493341,-0.0255216,-0.11746
683.001221,-0.024795668,-0.0248164,-0.11746
761.848755,-0.024320081,-0.0243348,-0.11746
844.926819,-0.024007626,-0.0240178,-0.11746
931.389221,-0.023808058,-0.0238149,-0.11746
1000,-0.023702502,-0.0237074,-0.11746
1091.33594,-0.023618188,-0.0236214,-0.11746
1184.40466,-0.023567058,-0.0235691,-0.11746
1200,-0.023559367,-0.0235613,-0.11746
